Temperature: 32.972500000000025, Rtemp: 20.3, Depth: 45.72
Temperature: 33.164000000000044, Rtemp: 20.3, Depth: 46.54
Temperature: 32.998625000000004, Rtemp: 20.3, Depth: 46.64
Temperature: 33.514812500000005, Rtemp: 20.3, Depth: 46.739999999999995
Temperature: 33.30706250000003, Rtemp: 20.3, Depth: 43.519999999999996
Temperature: 33.28000000000003, Rtemp: 20.3, Depth: 45.68
Temperature: 33.26200000000006, Rtemp: 20.3, Depth: 233.3
Temperature: 33.37706250000002, Rtemp: 20.3, Depth: 43.8
Temperature: 33.282062499999995, Rtemp: 20.3, Depth: 44.36
Temperature: 33.427625000000035, Rtemp: 20.3, Depth: 43.5
Temperature: 33.333500000000015, Rtemp: 21.2, Depth: 44.64
Temperature: 33.305312500000014, Rtemp: 21.2, Depth: 45.06
Temperature: 33.2734375, Rtemp: 21.2, Depth: 45.64
Temperature: 33.29400000000004, Rtemp: 21.2, Depth: 45.56
Temperature: 33.55400000000003, Rtemp: 21.2, Depth: 46.260000000000005
Temperature: 33.53543750000006, Rtemp: 21.2, Depth: 46.54
Temperature: 33.57193749999999, Rtemp: 21.2, Depth: 45.739999999999995
Temperature: 33.48106250000001, Rtemp: 21.2, Depth: 45.7
Temperature: 33.49739062500004, Rtemp: 21.2, Depth: 45.760000000000005
Temperature: 33.40398437500005, Rtemp: 21.2, Depth: 45.88
Temperature: 33.39610937500004, Rtemp: 21.2, Depth: 45.92
Temperature: 33.517937500000016, Rtemp: 21.2, Depth: 45.7
Temperature: 33.47200000000004, Rtemp: 21.2, Depth: 45.18
Temperature: 33.48603125000005, Rtemp: 21.2, Depth: 46.760000000000005
Temperature: 33.45350000000002, Rtemp: 21.2, Depth: 48.660000000000004
Temperature: 33.38375000000002, Rtemp: 21.2, Depth: 120.78
Temperature: 33.299687500000005, Rtemp: 21.2, Depth: 125.28
Temperature: 33.544812500000035, Rtemp: 21.2, Depth: 49.2
Temperature: 33.341187500000046, Rtemp: 21.2, Depth: 48.44
Temperature: 33.34925000000004, Rtemp: 21.2, Depth: 47.88
Temperature: 33.23712500000005, Rtemp: 21.2, Depth: 47.339999999999996
Temperature: 33.24780078125002, Rtemp: 21.2, Depth: 47.56
Temperature: 33.37918750000006, Rtemp: 21.2, Depth: 46.94
Temperature: 33.607312500000035, Rtemp: 21.2, Depth: 46.94
Temperature: 33.48750000000001, Rtemp: 21.2, Depth: 46.94
Temperature: 33.49190625, Rtemp: 21.2, Depth: 46.78
Temperature: 33.407558593750025, Rtemp: 21.2, Depth: 48.9
Temperature: 33.54781250000002, Rtemp: 21.2, Depth: 194.04000000000002
Temperature: 33.52687890625003, Rtemp: 21.2, Depth: 394.0
Temperature: 33.36075000000005, Rtemp: 21.2, Depth: 46.5
Temperature: 33.14900000000006, Rtemp: 21.2, Depth: 43.1
Temperature: 33.156000000000006, Rtemp: 21.2, Depth: 48.68
Temperature: 33.309218750000014, Rtemp: 21.2, Depth: 49.38
Temperature: 33.726125000000025, Rtemp: 21.2, Depth: 52.0
Temperature: 33.32000000000005, Rtemp: 21.2, Depth: 294.82
Temperature: 33.55422265625003, Rtemp: 21.2, Depth: 45.839999999999996
Temperature: 33.536378906250036, Rtemp: 21.2, Depth: 46.160000000000004
Temperature: 33.57650000000001, Rtemp: 21.2, Depth: 45.019999999999996
Temperature: 33.582875, Rtemp: 21.2, Depth: 45.46
Temperature: 33.387812499999995, Rtemp: 21.2, Depth: 42.5
Temperature: 33.35379687500006, Rtemp: 21.2, Depth: 45.36
Temperature: 33.42821484375003, Rtemp: 21.2, Depth: 48.739999999999995
Temperature: 33.404187500000035, Rtemp: 21.2, Depth: 43.6
Temperature: 32.224000000000046, Rtemp: 21.2, Depth: 380.6
Temperature: 32.40412109375001, Rtemp: 21.2, Depth: 295.3
Temperature: 33.026503906250014, Rtemp: 21.2, Depth: 22.240000000000002
Temperature: 33.21931250000006, Rtemp: 21.2, Depth: 44.2
Temperature: 33.39137500000004, Rtemp: 21.2, Depth: 47.339999999999996
Temperature: 33.35612500000002, Rtemp: 21.2, Depth: 46.28
Temperature: 33.55525000000006, Rtemp: 21.2, Depth: 45.38
Temperature: 33.22968750000001, Rtemp: 21.2, Depth: 43.86
