Temperature: 32.601125000000025, Rtemp: 22.8, Depth: 61.86
Temperature: 32.628562500000044, Rtemp: 22.8, Depth: 46.980000000000004
Temperature: 32.80025000000006, Rtemp: 22.8, Depth: 31.7
Temperature: 33.063562500000046, Rtemp: 22.8, Depth: 77.84
Temperature: 32.95600000000002, Rtemp: 22.8, Depth: 76.03999999999999
Temperature: 32.93521874999999, Rtemp: 22.8, Depth: 76.03999999999999
Temperature: 33.05508593750005, Rtemp: 22.8, Depth: 76.0
Temperature: 32.986687500000016, Rtemp: 22.8, Depth: 75.9
Temperature: 33.00400000000002, Rtemp: 22.8, Depth: 75.58
Temperature: 33.01529687499999, Rtemp: 22.8, Depth: 75.5
Temperature: 33.00600000000003, Rtemp: 22.8, Depth: 75.56
Temperature: 32.96437500000002, Rtemp: 22.8, Depth: 75.47999999999999
Temperature: 33.04693359375, Rtemp: 22.8, Depth: 75.5
Temperature: 32.96674999999999, Rtemp: 22.8, Depth: 75.5
Temperature: 33.020183593750005, Rtemp: 22.6, Depth: 75.72
Temperature: 32.96650000000005, Rtemp: 22.6, Depth: 75.67999999999999
Temperature: 32.932750000000055, Rtemp: 22.6, Depth: 75.38
Temperature: 32.928, Rtemp: 22.6, Depth: 75.62
Temperature: 32.91806250000002, Rtemp: 22.6, Depth: 75.47999999999999
Temperature: 32.915250000000015, Rtemp: 22.6, Depth: 75.32000000000001
Temperature: 32.920375000000035, Rtemp: 22.6, Depth: 75.47999999999999
Temperature: 32.913796875, Rtemp: 22.6, Depth: 75.56
Temperature: 32.9255, Rtemp: 22.6, Depth: 75.5
Temperature: 32.92768749999999, Rtemp: 22.6, Depth: 75.44
Temperature: 32.91192968750005, Rtemp: 22.6, Depth: 75.5
Temperature: 32.903445312500025, Rtemp: 22.6, Depth: 75.56
Temperature: 32.92168750000002, Rtemp: 22.6, Depth: 75.76
Temperature: 32.943437500000016, Rtemp: 22.6, Depth: 75.6
Temperature: 32.92954687500003, Rtemp: 22.6, Depth: 75.58
Temperature: 32.920937500000036, Rtemp: 22.6, Depth: 75.7
Temperature: 32.91025000000002, Rtemp: 22.6, Depth: 75.34
Temperature: 32.91119531250001, Rtemp: 22.6, Depth: 75.34
Temperature: 32.928562500000055, Rtemp: 22.6, Depth: 75.47999999999999
Temperature: 32.90424999999999, Rtemp: 22.6, Depth: 75.34
Temperature: 32.87871875000002, Rtemp: 22.6, Depth: 75.2
Temperature: 32.886750000000006, Rtemp: 22.6, Depth: 75.42
Temperature: 32.906000000000006, Rtemp: 22.6, Depth: 75.42
Temperature: 32.911, Rtemp: 22.6, Depth: 75.52000000000001
Temperature: 32.90717187500002, Rtemp: 22.6, Depth: 75.47999999999999
Temperature: 32.90843750000005, Rtemp: 22.6, Depth: 75.22
Temperature: 32.919062499999995, Rtemp: 22.6, Depth: 75.0
Temperature: 32.91175000000004, Rtemp: 22.6, Depth: 75.14
Temperature: 32.966125000000034, Rtemp: 22.7, Depth: 75.46000000000001
Temperature: 32.98400000000004, Rtemp: 22.7, Depth: 75.36
Temperature: 32.97675000000004, Rtemp: 22.7, Depth: 75.52000000000001
Temperature: 32.98675000000003, Rtemp: 22.7, Depth: 75.84
Temperature: 32.865031250000015, Rtemp: 22.7, Depth: 75.5
Temperature: 32.897500000000036, Rtemp: 22.7, Depth: 75.34
Temperature: 32.93012500000003, Rtemp: 22.7, Depth: 75.12
Temperature: 32.98712500000005, Rtemp: 22.7, Depth: 75.64
Temperature: 33.042250000000024, Rtemp: 22.7, Depth: 75.56
Temperature: 32.92218750000001, Rtemp: 22.7, Depth: 76.47999999999999
Temperature: 32.921437500000025, Rtemp: 22.7, Depth: 76.32000000000001
Temperature: 32.80500000000001, Rtemp: 22.7, Depth: 76.66
Temperature: 32.820937500000014, Rtemp: 22.7, Depth: 76.17999999999999
Temperature: 32.79181250000005, Rtemp: 22.7, Depth: 76.46000000000001
Temperature: 32.873875000000055, Rtemp: 22.6, Depth: 75.08
Temperature: 32.887249999999995, Rtemp: 22.6, Depth: 75.2
Temperature: 32.77762500000006, Rtemp: 22.6, Depth: 75.86
Temperature: 32.743750000000034, Rtemp: 22.6, Depth: 75.8
Temperature: 32.701625000000035, Rtemp: 22.6, Depth: 77.02000000000001
Temperature: 32.71309375000004, Rtemp: 22.6, Depth: 77.02000000000001
Temperature: 32.686039062500015, Rtemp: 22.6, Depth: 76.58
Temperature: 32.71833593750006, Rtemp: 22.6, Depth: 76.76
Temperature: 32.76260156249998, Rtemp: 22.6, Depth: 76.72
Temperature: 32.759976562500015, Rtemp: 22.6, Depth: 76.62
Temperature: 32.800234375, Rtemp: 22.6, Depth: 76.58
Temperature: 32.78310937499998, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 32.822, Rtemp: 22.6, Depth: 76.44
Temperature: 32.84712500000006, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 32.865999999999985, Rtemp: 22.6, Depth: 76.56
Temperature: 32.854250000000036, Rtemp: 22.6, Depth: 76.62
Temperature: 32.833218750000015, Rtemp: 22.6, Depth: 76.16
Temperature: 32.816250000000025, Rtemp: 22.6, Depth: 76.67999999999999
Temperature: 32.791312500000004, Rtemp: 22.6, Depth: 76.38
Temperature: 32.78400000000005, Rtemp: 22.6, Depth: 76.34
Temperature: 32.8696875, Rtemp: 22.6, Depth: 76.36
Temperature: 32.86075000000005, Rtemp: 22.6, Depth: 76.58
Temperature: 32.8071875, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 32.81350000000003, Rtemp: 22.6, Depth: 77.08
Temperature: 32.72900000000004, Rtemp: 22.6, Depth: 76.76
Temperature: 32.78781250000003, Rtemp: 22.6, Depth: 76.22
Temperature: 32.640562500000044, Rtemp: 22.6, Depth: 75.22
Temperature: 32.67625000000004, Rtemp: 22.6, Depth: 75.92
Temperature: 32.285937500000045, Rtemp: 22.7, Depth: 76.84
Temperature: 32.63967187500003, Rtemp: 22.7, Depth: 76.14
Temperature: 32.710500000000025, Rtemp: 22.7, Depth: 75.9
Temperature: 32.739374999999995, Rtemp: 22.7, Depth: 75.84
Temperature: 32.76065625000001, Rtemp: 22.7, Depth: 75.97999999999999
Temperature: 32.77674999999999, Rtemp: 22.7, Depth: 75.84
Temperature: 32.73676562500003, Rtemp: 22.7, Depth: 75.56
Temperature: 32.67787500000003, Rtemp: 22.7, Depth: 75.96000000000001
Temperature: 32.640750000000025, Rtemp: 22.7, Depth: 75.5
Temperature: 32.66775000000001, Rtemp: 22.7, Depth: 75.86
Temperature: 32.68393750000001, Rtemp: 22.7, Depth: 75.14
Temperature: 32.717250000000035, Rtemp: 22.7, Depth: 75.26
Temperature: 32.73220312500001, Rtemp: 22.7, Depth: 74.7
Temperature: 32.65685156250004, Rtemp: 22.7, Depth: 74.86
Temperature: 32.54829687500006, Rtemp: 22.6, Depth: 75.52000000000001
Temperature: 32.71407031250004, Rtemp: 22.6, Depth: 75.47999999999999
Temperature: 32.59862500000003, Rtemp: 22.6, Depth: 75.2
Temperature: 32.553499999999985, Rtemp: 22.6, Depth: 74.46000000000001
Temperature: 32.63776562500004, Rtemp: 22.6, Depth: 74.46000000000001
Temperature: 32.731875, Rtemp: 22.6, Depth: 74.96000000000001
Temperature: 32.801625, Rtemp: 22.6, Depth: 75.34
Temperature: 33.03675000000004, Rtemp: 22.6, Depth: 75.74
Temperature: 32.90917187500003, Rtemp: 22.6, Depth: 75.56
Temperature: 32.79106250000001, Rtemp: 22.6, Depth: 75.22
Temperature: 32.67956250000003, Rtemp: 22.6, Depth: 76.3
Temperature: 32.676312499999995, Rtemp: 22.6, Depth: 76.62
Temperature: 32.84506249999998, Rtemp: 22.6, Depth: 76.0
Temperature: 32.77306250000004, Rtemp: 22.6, Depth: 77.53999999999999
Temperature: 32.838750000000005, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 32.85650000000004, Rtemp: 22.6, Depth: 77.82000000000001
Temperature: 32.81762500000002, Rtemp: 22.6, Depth: 77.4
Temperature: 32.76275000000004, Rtemp: 22.6, Depth: 77.66
Temperature: 32.87175000000002, Rtemp: 22.6, Depth: 76.9
Temperature: 33.00446093750003, Rtemp: 22.6, Depth: 77.0
Temperature: 32.9213125, Rtemp: 22.6, Depth: 77.56
Temperature: 33.03875000000005, Rtemp: 22.6, Depth: 77.47999999999999
Temperature: 32.987929687500014, Rtemp: 22.6, Depth: 77.22
Temperature: 33.03256249999998, Rtemp: 22.6, Depth: 78.12
Temperature: 33.08450000000005, Rtemp: 22.6, Depth: 77.34
Temperature: 33.10443750000002, Rtemp: 22.6, Depth: 77.08
Temperature: 33.11165625000001, Rtemp: 22.6, Depth: 77.47999999999999
Temperature: 33.178, Rtemp: 22.7, Depth: 77.5
Temperature: 33.1581875, Rtemp: 22.7, Depth: 77.12
Temperature: 33.185, Rtemp: 22.7, Depth: 77.46000000000001
Temperature: 33.148000000000025, Rtemp: 22.7, Depth: 77.62
Temperature: 33.1869375, Rtemp: 22.7, Depth: 77.06
Temperature: 33.16281250000003, Rtemp: 22.7, Depth: 77.38
Temperature: 33.126281250000034, Rtemp: 22.7, Depth: 76.97999999999999
Temperature: 33.12375000000003, Rtemp: 22.7, Depth: 76.38
Temperature: 33.117125000000044, Rtemp: 22.7, Depth: 75.76
Temperature: 33.1328125, Rtemp: 22.7, Depth: 75.56
Temperature: 33.16025000000002, Rtemp: 22.7, Depth: 76.58
Temperature: 33.17218750000001, Rtemp: 22.7, Depth: 76.52000000000001
Temperature: 33.33618750000005, Rtemp: 22.7, Depth: 76.82000000000001
Temperature: 33.322, Rtemp: 22.7, Depth: 76.62
Temperature: 33.27981250000005, Rtemp: 22.6, Depth: 76.1
